;id;afavor;n;total;trimestre;perc_governismo
219;1204368;289.0;535.0;54.0;2023-03-31;83.0
220;1204369;118.0;659.0;18.0;2023-03-31;33.0
221;1204372;282.0;349.0;81.0;2023-03-31;
222;1204374;115.0;558.0;21.0;2023-03-31;43.0
223;1204376;26.0;92.0;28.0;2023-03-31;
224;1204378;127.0;546.0;23.0;2023-03-31;63.0
225;1204379;373.0;443.0;84.0;2023-03-31;100.0
226;1204387;120.0;600.0;20.0;2023-03-31;38.0
227;1204388;149.0;573.0;26.0;2023-03-31;63.0
228;1204390;127.0;471.0;27.0;2023-03-31;75.0
229;1204391;345.0;419.0;82.0;2023-03-31;100.0
230;1204394;599.0;632.0;95.0;2023-03-31;100.0
231;1204395;144.0;375.0;38.0;2023-03-31;71.0
232;1204396;157.0;359.0;44.0;2023-03-31;67.0
233;1204398;259.0;557.0;46.0;2023-03-31;83.0
234;1204404;255.0;642.0;40.0;2023-03-31;56.0
235;1204406;230.0;490.0;47.0;2023-03-31;67.0
236;1204407;385.0;477.0;81.0;2023-03-31;57.0
237;1204408;436.0;506.0;86.0;2023-03-31;75.0
238;1204409;246.0;501.0;49.0;2023-03-31;71.0
239;1204410;237.0;353.0;67.0;2023-03-31;50.0
240;1204411;72.0;312.0;23.0;2023-03-31;60.0
241;1204412;279.0;535.0;52.0;2023-03-31;100.0
242;1204416;109.0;536.0;20.0;2023-03-31;38.0
243;1204422;384.0;444.0;86.0;2023-03-31;
244;1204423;107.0;327.0;33.0;2023-03-31;67.0
245;1204426;584.0;596.0;98.0;2023-03-31;100.0
246;1204427;148.0;438.0;34.0;2023-03-31;50.0
247;1204431;442.0;491.0;90.0;2023-03-31;100.0
248;1204436;173.0;194.0;89.0;2023-03-31;100.0
249;1204441;254.0;404.0;63.0;2023-03-31;100.0
250;1204444;108.0;429.0;25.0;2023-03-31;50.0
251;1204445;503.0;514.0;98.0;2023-03-31;100.0
252;1204449;54.0;205.0;26.0;2023-03-31;
253;1204450;141.0;169.0;83.0;2023-03-31;
254;1204453;495.0;520.0;95.0;2023-03-31;100.0
255;1204455;135.0;587.0;23.0;2023-03-31;60.0
256;1204456;466.0;537.0;87.0;2023-03-31;100.0
257;1204457;450.0;517.0;87.0;2023-03-31;67.0
258;1204459;452.0;464.0;97.0;2023-03-31;
259;1204460;97.0;516.0;19.0;2023-03-31;33.0
260;1204462;90.0;542.0;17.0;2023-03-31;43.0
261;1204464;359.0;442.0;81.0;2023-03-31;
262;1204472;124.0;496.0;25.0;2023-03-31;25.0
263;1204473;141.0;539.0;26.0;2023-03-31;63.0
264;1204474;317.0;404.0;78.0;2023-03-31;100.0
265;1204479;115.0;527.0;22.0;2023-03-31;75.0
